job_id,num_gpu,submit_time,iterations,model_name,duration,interval
69719,8,0,0,inception3,87785,172
69720,8,172,0,resnet152,60,297
69721,8,469,0,alexnet,29,150
69722,8,620,0,inception3,83952,261
69723,8,881,0,resnet101,560,6891
69725,8,7772,0,resnet152,309518,24871
69740,4,32643,0,resnet50,235048,1030
69746,1,33674,0,vgg11,31,3
69747,1,33677,0,vgg19,18,3
69748,1,33680,0,vgg19,38,3
69749,1,33683,0,resnet101,23,1748
69757,1,35431,0,vgg16,15,3
69758,1,35434,0,inception4,12,3
69760,1,35437,0,inception3,16,5
69761,1,35442,0,resnet50,15,196
69763,1,35638,0,inception3,13,3
69764,1,35641,0,inception3,11,2
69765,1,35643,0,vgg19,19,3
69767,1,35646,0,vgg11,17,71
69769,1,35717,0,vgg11,59167,232
69774,1,36196,0,resnet50,13,2
69775,1,36198,0,inception3,13,3
69776,1,36201,0,alexnet,14,3
69777,1,36204,0,vgg11,11,242
69787,1,36559,0,vgg11,183,145
69788,1,36704,0,vgg16,6,167
69790,1,36871,0,alexnet,73,142
69791,1,37013,0,resnet101,43,358
69797,4,37371,0,resnet50,11,629
69805,1,38000,0,alexnet,157,40
69806,1,38040,0,alexnet,9327,45
69808,1,38305,0,vgg16,1399762,187
69811,1,38613,0,resnet152,77,120
69813,1,38878,0,alexnet,46,20
69814,1,38898,0,resnet50,46,118
69816,1,39162,0,alexnet,46,21
69817,1,39183,0,vgg11,44,119
69819,1,39413,0,resnet50,43,10
69820,4,39423,0,alexnet,11,1
69821,1,39424,0,vgg16,42,123
69822,1,39547,0,resnet101,75,22
69823,1,39569,0,resnet152,44,137
69824,1,39706,0,resnet101,17915,38
69827,1,39755,0,vgg11,43,7
69828,1,39762,0,inception3,78,19
69829,1,39781,0,inception4,12,20
69831,1,39801,0,inception4,12,265
69833,1,40066,0,vgg16,81,192
69835,1,40258,0,resnet152,46,231
69836,8,40489,0,resnet50,58533,298
69837,4,40787,0,alexnet,14,207
69838,1,40994,0,inception4,263,714
69840,1,41708,0,inception4,76,30
69841,1,41738,0,vgg19,76,12
69842,1,41750,0,inception3,78,17
69843,1,41767,0,alexnet,78,16
69844,1,41783,0,resnet152,76,15
69845,1,41798,0,vgg16,66,16
69846,1,41814,0,resnet50,70,13
69847,1,41827,0,inception3,69,12
69848,1,41839,0,vgg19,76,225
69855,1,42064,0,resnet152,382,14
69857,1,42078,0,vgg11,382,273
69858,1,42351,0,resnet152,1003,33
69859,4,42384,0,resnet101,19,284
69860,1,42668,0,alexnet,318627,6
69861,1,42674,0,inception4,318441,6
69862,1,42680,0,alexnet,318664,10
69863,1,42690,0,resnet101,318357,6
69864,1,42696,0,vgg11,318410,8
69865,1,42704,0,alexnet,318803,7
69866,1,42711,0,alexnet,300873,12
69867,1,42723,0,inception4,313603,7
69868,1,42730,0,resnet101,319139,3500
69871,4,46230,0,vgg19,824580,144
69872,1,46374,0,vgg19,8,19
69873,1,46393,0,resnet101,3555,487
69879,1,46880,0,vgg11,8,7
69880,8,46887,0,resnet152,268059,728
69888,1,47615,0,resnet152,67,276
69890,1,47891,0,inception4,136695,185
69891,1,48076,0,inception3,422,344
69903,1,49178,0,alexnet,5,2
69904,1,49180,0,resnet152,6,3
69905,1,49183,0,vgg16,5,3
69906,1,49186,0,resnet101,5,2
69907,1,49188,0,inception4,7,6
69908,1,49194,0,vgg16,6,3
69909,1,49197,0,resnet50,8,3
69910,1,49200,0,inception3,5,3
69911,1,49203,0,resnet152,5,3
69912,1,49206,0,vgg19,7,2
69913,1,49208,0,inception3,6,3
69914,1,49211,0,resnet101,6,3
69915,1,49214,0,vgg11,6,3
69916,1,49217,0,inception4,4,3
69917,1,49220,0,resnet101,4,3
69918,1,49223,0,inception3,13,3
69919,1,49226,0,resnet152,7,3
69920,1,49229,0,inception3,7,2
69921,1,49231,0,resnet50,7,3
69922,1,49234,0,resnet152,5,3
69923,1,49237,0,alexnet,5,3
69924,1,49240,0,resnet50,5,502
69927,1,49742,0,vgg11,387,339
69928,1,50081,0,resnet50,127,212
69929,1,50293,0,vgg11,80,11
